resolver,lbr_ante_per_hand,se,ci95_low,ci95_high,seconds
30M baseline,1.298744,0.097748,1.107157,1.490331,400.13
iter=100 prior=100,1.222663,0.102918,1.020944,1.424381,365.58
iter=100 prior=1000,1.216175,0.095327,1.029334,1.403016,414.00
