game,full_game_fp,full_game_cfr,rebel_fp,rebel_cfr_d,iterations,rebel_depth
1x4f,0.012,0.001,0.041,0.017,1024,2
1x5f,0.024,0.001,0.020,0.015,1024,2
1x6f,0.039,0.002,0.040,0.024,1024,2
2x3f,0.057,0.002,0.020,0.017,1024,2
